Generation,FitnessScore,SolvationEnergy,Eisenberg,HelixPropensity
125,17.2892,7.0000,0.3445,1.0981
126,17.2892,7.0000,0.3445,1.0981
127,17.2892,7.0000,0.3445,1.0981
128,17.2892,7.0000,0.3445,1.0981
129,17.2892,7.0000,0.3445,1.0981
130,17.2892,7.0000,0.3445,1.0981
131,17.2892,7.0000,0.3445,1.0981
132,17.2892,7.0000,0.3445,1.0981
133,17.2892,7.0000,0.3445,1.0981
134,17.2892,7.0000,0.3445,1.0981
135,17.2892,7.0000,0.3445,1.0981
136,17.2892,7.0000,0.3445,1.0981
137,17.2892,7.0000,0.3445,1.0981
138,17.2892,7.0000,0.3445,1.0981
139,17.2892,7.0000,0.3445,1.0981
140,17.2892,7.0000,0.3445,1.0981
141,17.2892,7.0000,0.3445,1.0981
142,17.2892,7.0000,0.3445,1.0981
143,17.2892,7.0000,0.3445,1.0981
144,17.2892,7.0000,0.3445,1.0981
145,17.2892,7.0000,0.3445,1.0981
146,17.2892,7.0000,0.3445,1.0981
147,17.2892,7.0000,0.3445,1.0981
148,17.2892,7.0000,0.3445,1.0981
149,17.2892,7.0000,0.3445,1.0981
150,17.2892,7.0000,0.3445,1.0981
151,17.2892,7.0000,0.3445,1.0981
152,17.2892,7.0000,0.3445,1.0981
153,17.2892,7.0000,0.3445,1.0981
154,17.2892,7.0000,0.3445,1.0981
155,17.2892,7.0000,0.3445,1.0981
156,17.2892,7.0000,0.3445,1.0981
157,17.2892,7.0000,0.3445,1.0981
158,17.2892,7.0000,0.3445,1.0981
159,17.2892,7.0000,0.3445,1.0981
160,17.2892,7.0000,0.3445,1.0981
161,17.2892,7.0000,0.3445,1.0981
162,17.2892,7.0000,0.3445,1.0981
163,17.2892,7.0000,0.3445,1.0981
164,17.2892,7.0000,0.3445,1.0981
165,17.2892,7.0000,0.3445,1.0981
166,17.2892,7.0000,0.3445,1.0981
167,17.2892,7.0000,0.3445,1.0981
168,17.2892,7.0000,0.3445,1.0981
169,17.2892,7.0000,0.3445,1.0981
170,17.2892,7.0000,0.3445,1.0981
171,17.2892,7.0000,0.3445,1.0981
172,17.2892,7.0000,0.3445,1.0981
173,17.2892,7.0000,0.3445,1.0981
174,17.2892,7.0000,0.3445,1.0981
175,17.2892,7.0000,0.3445,1.0981
176,17.2892,7.0000,0.3445,1.0981
177,17.2892,7.0000,0.3445,1.0981
178,17.2892,7.0000,0.3445,1.0981
179,17.2892,7.0000,0.3445,1.0981
180,17.2892,7.0000,0.3445,1.0981
181,17.2892,7.0000,0.3445,1.0981
182,17.2892,7.0000,0.3445,1.0981
183,17.2892,7.0000,0.3445,1.0981
184,17.2892,7.0000,0.3445,1.0981
185,17.2892,7.0000,0.3445,1.0981
186,17.2892,7.0000,0.3445,1.0981
187,17.2892,7.0000,0.3445,1.0981
188,17.2892,7.0000,0.3445,1.0981
189,17.2892,7.0000,0.3445,1.0981
